text,sentiment
Perfect addition to my collection!,positive
Most reliable brand out there!,positive
New wellness program options.,neutral
Saved me so much money!,positive
Remember to bring your ID to the office.,neutral
New security measures are active.,neutral
New performance goals set.,neutral
Hotel room wasn't cleaned properly.,negative
All staff must complete courses.,neutral
Taxi had no seat belts.,negative
Couldn't imagine life without it!,positive
Package was left in the rain.,negative
Construction starts at 6 AM daily.,negative
All reports must be approved.,neutral
Neighbor's parties disrupt sleep.,negative
Construction damaged my fence.,negative
Product photo was misleading.,negative
Saved me from costly errors!,positive
All employees must participate.,neutral
Best purchase I've made in years!,positive
Flight had no available seats together.,negative
New security procedures active.,neutral
All employees must comply.,neutral
New remote work options available.,neutral
All applications due by 5 PM today.,neutral
Construction damaged my property.,negative
Quarterly reports are due soon.,neutral
Works perfectly with my workflow!,positive
Flight had no entertainment system.,negative
Conference had no wheelchair access.,negative
Please use the new request form.,neutral
Package was left in direct sun.,negative
Please review the policy manual.,neutral
Exactly the features I wanted!,positive
Most comfortable home item!,positive
Neighbor's dog barks all night.,negative
Restaurant had no booster seats.,negative
New health insurance forms are out.,neutral
Cashier didn't know the return policy.,negative
Saved me time and money!,positive
New project management process.,neutral
New safety training is mandatory.,neutral
New performance review system.,neutral
Please update your profiles.,neutral
Exactly matches my decor!,positive
Works perfectly with my setup!,positive
These shoes are so stylish and comfortable!,positive
Works better than advertised!,positive
Construction damaged my lawn.,negative
All teams must submit budgets.,neutral
Please check the updated schedule.,neutral
"My new phone works perfectly, very happy!",positive
Store had incorrect price tags.,negative
Couldn't be more satisfied with results!,positive
Works flawlessly without fail!,positive
New recycling program initiated.,neutral
Couldn't ask for anything better!,positive
New document filing system.,neutral
All staff must complete certification.,neutral
Perfect for family game night!,positive
Solved my problem in seconds!,positive
Please review the new protocols.,neutral
New safety equipment issued.,neutral
All teams must reduce overhead.,neutral
New office layout starts Monday.,neutral
Great atmosphere and friendly staff!,positive
Restaurant had limited availability.,negative
Works seamlessly with my routine!,positive
All employees must sign in.,neutral
