id,product_name,review_text,label
1,EverGlow LED Desk Lamp,"I bought this lamp two months ago and it has become the centerpiece of my study desk. The four color-temperature modes are fantastic for late-night reading because my eyes never feel strained. Assembly took less than five minutes and the base feels heavy enough that my cat can’t knock it over. I only wish the power brick were a little smaller, but that’s a minor gripe. Overall, I’m impressed and would buy again.",positive
2,QuickChug 32 oz Stainless Bottle,"This bottle looks sleek and keeps coffee hot for about three hours, which is acceptable. Unfortunately, the lid started leaking after just one week of light use. I emailed support and they sent a replacement lid, but the new one leaks too. The paint also chips if you so much as breathe on it. For the price, I expected much better durability.",negative
3,SnugFit Cotton Tee,"The fabric is soft and breathable, perfect for summer days. It survived three washes with no shrinking or color fade, so the quality seems solid. The fit is slightly looser than expected, but I actually prefer the relaxed vibe. The tagless design is a nice touch and prevents neck itch. A dependable basic tee at a fair price.",positive
4,FlexiStep Yoga Mat,"I practice yoga five times a week and this mat grips the floor like glue—no sliding at all. The 6 mm cushioning supports my knees during long pigeon poses. The only downside is the strong rubber smell that lingered for almost a week. After airing it out on the balcony, the odor vanished. Great mat for serious yogis.",positive
5,SmartSlice Bread Knife,"The blade arrived dull and could barely cut through a crusty baguette. I tried sharpening it myself, but the steel is too soft and now it chips. The handle feels hollow and slippery when wet, which is scary. After one month it’s relegated to butter-spreading duty. Definitely not worth the premium price.",negative
6,CozyNights Weighted Blanket,"The weight distribution is perfect and I fall asleep faster than ever. The cover is removable and machine-washable, which is a lifesaver because my dog loves it too. It’s a bit warm for summer nights, but perfect for winter. I’ve noticed fewer restless legs since using it. Highly recommend for anyone with insomnia.",positive
7,BlitzClean Robot Vacuum,"It maps the house well and rarely bumps into furniture. Pet hair pickup is impressive on hardwood, but it struggles on medium-pile carpet. The dustbin fills quickly and must be emptied daily. Replacement parts are pricey and hard to find. Overall, decent but not the game-changer I hoped for.",neutral
8,SunShield SPF 50 Moisturizer,"The lotion feels light and leaves zero white cast, even on deeper skin tones. My sensitive skin hasn’t broken out once since I started using it. A pea-sized amount covers my entire face, so the tube lasts months. The subtle citrus scent is refreshing without being overpowering. Already repurchased twice.",positive
9,PowerLift Adjustable Dumbbells,"The quick-change mechanism is smooth and saves tons of time during circuits. They feel solid and balanced, even at 50 lbs per hand. Storage is compact, which is great in my tiny apartment. The only issue is a slight wobble at the highest weight setting. Still, they’re a solid investment for home gyms.",positive
10,AromaBloom Essential Oil Diffuser,"It looks beautiful on my nightstand and the LED colors are soothing. However, the water tank only lasts three hours on continuous mode, which is too short. The plastic lid cracked after one accidental drop. Essential oils scent the room well, but the fan is louder than I’d like. It’s okay for occasional use, not daily.",neutral
11,CrispEdge Mandoline Slicer,"Slices potatoes paper-thin in seconds and the safety guard actually works. Cleanup is surprisingly easy since the frame pops apart. I’ve already made restaurant-level gratins twice this week. My only wish is for more thickness settings. If you love cooking, this tool is a must.",positive
12,HydroFlow Shower Head,"Installation took five minutes with zero tools required. The three spray modes feel like a luxury spa, especially the rainfall setting. Water pressure increased noticeably without increasing my water bill. The chrome finish matches my existing fixtures perfectly. My showers are now the best part of my day.",positive
13,StealthMount Bike Phone Holder,"My phone never budged even on bumpy trails. The quick-release button is handy when I need to check directions. It fits handlebars from 22 to 31 mm without extra spacers. After six months, the rubber grips show no wear. Worth every penny for commuters and trail riders alike.",positive
14,EcoWipe Reusable Paper Towels,"They absorb spills quickly and wash up beautifully in the machine. I’ve cut my paper towel usage by 80 percent in just a month. The patterns are cute and brighten my kitchen. They do stain with tomato sauce, but a soak in baking soda fixes it. Eco-friendly and wallet-friendly at the same time.",positive
15,TurboGrind Coffee Grinder,"The motor died after only three weeks of moderate use. I contacted customer service and was told to pay for shipping both ways, which is ridiculous. While it worked, the grind size was inconsistent. Static makes grounds stick everywhere, creating a daily mess. Spend a bit more for a reliable brand.",negative
16,CloudSoft Memory Pillow,"It feels like sleeping on a marshmallow and my neck pain vanished in two nights. The cooling gel layer actually works; no more sweaty pillows. The cover unzips for washing and dried in one dryer cycle. It’s heavier than a normal pillow, but I got used to it quickly. Best sleep purchase I’ve made in years.",positive
17,SnapBack Resistance Bands Set,"Five resistance levels cover everything from rehab to serious strength work. The fabric doesn’t roll up like cheaper rubber bands during squats. The door anchor feels sturdy and hasn’t scratched my frame. After four months of daily use, there’s no sign of fraying. Great value for a full-body workout.",positive
18,GlideWrite Gel Pens,"The ink flows smoothly with zero skipping, even on cheap notebook paper. The 0.7 mm tip is perfect for detailed journaling. They last longer than competitors; I’m still on my first pen after two months. The rubber grip prevents finger cramps during long writing sessions. Bought a second box already.",positive
19,HeatWave Portable Heater,"It heats my 150 sq ft office in under ten minutes on the medium setting. The thermostat is accurate and cycles on and off efficiently. The exterior stays cool to the touch, so it’s safe around my toddler. It’s small enough to tuck under my desk without tripping hazards. A lifesaver during cold snaps.",positive
20,PureBrew Cold Brew Maker,"The filter is ultra-fine, so my coffee comes out silky smooth with zero grit. It fits perfectly on my fridge shelf and makes enough concentrate for a week. Cleanup is as simple as tossing the grounds and rinsing the filter. The glass feels thick and durable, surviving multiple accidental knocks. Cold brew lovers need this.",positive
